Year,Month,Total Blood Smears Examined for Malaria,Malaria (Microscopy Tests ) - Plasmodium Vivax test positive,Malaria (Microscopy Tests ) - Plasmodium Falciparum test positive,Inpatient - Malaria,Inpatient - Dengue,Inpatient - Typhoid,"Inpatient - Asthma, Chronic Obstructive Pulmonary Disease (COPD), Respiratory infections",Inpatient - Tuberculosis,Inpatient - Diarrhea with dehydration,Inpatient - Hepatitis,Specific Humidity,Relative Humidity,T2M,T2M_MAX,T2M_MIN,District
2019,January,206,0,0,0,0,3,40,0,19,0,3.128709677419355,56.57161290322581,2.498387096774194,9.310645161290322,-2.638387096774194,Bageshwar
2019,February,297,0,0,0,0,1,56,0,6,0,4.086785714285715,66.315,3.446785714285714,9.717142857142857,-2.168214285714286,Bageshwar
2019,March,233,0,0,-1,-1,2,34,2,9,-1,4.67225806451613,59.07870967741935,7.243225806451613,14.19193548387097,0.2148387096774193,Bageshwar
2019,April,172,0,0,0,0,3,29,1,36,0,6.476666666666667,52.977,14.26,21.33,7.779,Bageshwar
2019,May,337,0,0,0,0,2,41,2,28,3,6.067096774193549,40.95161290322581,17.5558064516129,24.92451612903226,10.15129032258064,Bageshwar
2019,June,193,0,0,0,0,0,31,1,28,0,9.069666666666667,51.13433333333333,20.02433333333333,26.78233333333333,13.40666666666667,Bageshwar
2019,July,379,0,0,7,0,14,22,1,26,2,14.26064516129032,81.75387096774193,18.83290322580645,23.39870967741935,14.91838709677419,Bageshwar
2019,August,282,0,0,0,0,0,37,0,14,3,14.50161290322581,85.60290322580646,18.20387096774194,22.00096774193548,15.22322580645161,Bageshwar
2019,September,359,0,0,0,0,7,34,0,12,0,13.31633333333333,86.18966666666667,16.72633333333333,20.84566666666667,13.51966666666667,Bageshwar
2019,October,254,0,0,0,1,3,66,1,22,0,7.508387096774193,65.53258064516129,12.38193548387097,18.40258064516129,7.923870967741936,Bageshwar
2019,November,225,0,0,0,5,2,29,2,14,4,4.532666666666667,49.22133333333333,9.633999999999999,16.60833333333333,4.795333333333334,Bageshwar
2019,December,204,0,0,0,0,4,29,0,0,4,2.913548387096774,51.08129032258064,2.497741935483871,10.56935483870968,-3.580645161290323,Bageshwar
2018,January,200,0,0,0,0,0,30,0,14,0,1.876129032258064,28.89612903225806,5.551290322580646,14.1858064516129,-0.1212903225806452,Bageshwar
2018,February,262,0,0,0,0,0,26,1,14,0,3.075714285714286,40.23392857142857,7.137857142857142,14.72214285714286,1.247142857142857,Bageshwar
2018,March,200,0,0,0,0,0,33,0,17,0,3.836451612903226,40.13709677419355,10.95612903225806,18.95290322580645,3.83741935483871,Bageshwar
2018,April,210,0,0,0,0,7,41,3,9,0,6.201666666666667,50.059,14.397,21.05033333333333,8.136999999999999,Bageshwar
2018,May,294,0,0,1,0,64,42,2,9,15,6.232258064516128,41.35387096774193,17.98645161290323,25.25322580645161,10.90645161290323,Bageshwar
2018,June,382,0,0,0,0,24,35,1,22,8,12.169,68.542,19.459,24.90033333333333,14.69566666666667,Bageshwar
2018,July,396,0,0,0,0,2,26,2,31,10,14.58709677419355,83.39322580645161,18.85,23.10903225806452,15.38129032258064,Bageshwar
2018,August,287,0,0,0,0,6,0,0,0,0,14.97322580645161,90.50032258064518,17.70677419354839,20.90064516129032,15.1758064516129,Bageshwar
